Goals scored,Avg attendance,Country
5,24763,Brazil
1,21000,Brazil
14,19723,Brazil
22,121936,Brazil
8,26036,Brazil
16,35395,Brazil
14,34519,Brazil
4,52391,Brazil
19,63908,Brazil
6,55752,Brazil
10,40059,Brazil
15,49276,Brazil
10,48950,Brazil
4,61130,Brazil
11,82197,Brazil
14,55071,Brazil
18,46726,Brazil
10,63200,Brazil
9,59156,Brazil
15,61820,Brazil
0,0,England
0,0,England
0,0,England
2,38105,England
8,28500,England
4,32324,England
5,10292,England
11,93332,England
4,47513,England
0,0,England
0,0,England
6,54999,England
7,55842,England
8,44178,England
0,0,England
7,39300,England
6,44306,England
6,47600,England
3,45037,England
2,53399,England
